Name,Cores,Threads,Base Clock,TDP,Performance,Actual,Predicted
Intel Xeon E5-2680 V3,2,24,2.5,120.0,High-End,High-End,
AMD Ryzen 9 5950X,16,32,3.4,105.0,High-End,High-End,
Intel Core i3-6100,2,4,3.7,47.0,Low-End,Low-End,
AMD Ryzen Threadripper 3990X,64,128,2.9,280.0,High-End,High-End,
AMD A8-7670K,2,2,3.6,95.0,Low-End,Low-End,
AMD FX-8150,8,8,3.6,125.0,High-End,High-End,
AMD Ryzen 5 2600X,6,12,3.6,95.0,High-End,High-End,
AMD Ryzen 3 1200,4,4,3.1,65.0,Mid-End,Mid-End,
Intel Core i9-12900F,8,16,2.4,65.0,High-End,High-End,
Intel Core i5-9600,6,6,3.1,65.0,Mid-End,Mid-End,
Intel Core i3-13100,4,8,3.4,60.0,Mid-End,Mid-End,
AMD Ryzen 5 5600X,6,12,3.7,65.0,High-End,High-End,
Intel Core i7-12700F,8,16,2.1,65.0,High-End,High-End,
Intel Core i7-3770K,4,8,3.5,77.0,Mid-End,Mid-End,
AMD Ryzen Threadripper 2950X,16,32,3.5,180.0,High-End,High-End,
Intel Core i9-9900KS,8,16,4.0,127.0,High-End,High-End,
AMD Ryzen Threadripper Pro 5955WX,16,32,4.0,280.0,High-End,High-End,
Intel Core i5-10600,6,12,3.3,65.0,High-End,High-End,
AMD Ryzen 9 7900X,12,24,4.7,170.0,High-End,High-End,
Intel Core i3-7300,2,4,4.0,51.0,Low-End,Low-End,
AMD FX-8320,8,8,3.5,125.0,High-End,High-End,
AMD A10-7860K,2,2,3.6,65.0,Low-End,Low-End,
AMD Athlon 200GE,2,4,3.2,35.0,Low-End,Low-End,
AMD Ryzen 5 4500,6,12,3.6,65.0,High-End,High-End,
Intel Core i5-10400,6,12,2.9,65.0,High-End,High-End,
Intel Core i5-12600,6,12,3.3,65.0,High-End,High-End,
AMD Ryzen 3 2200G,4,4,3.5,65.0,Mid-End,Mid-End,
Intel Core i7-7740X,4,8,4.3,112.0,High-End,High-End,
Intel Core i5-12600KF,6,12,3.7,125.0,High-End,High-End,
Intel Pentium G4560,2,4,3.5,54.0,Low-End,Low-End,
AMD Ryzen 7 2700,8,16,3.2,100.0,High-End,High-End,
AMD Ryzen 9 3950X,16,32,3.5,105.0,High-End,High-End,
Intel Core i3-8100,4,4,3.6,65.0,Mid-End,Mid-End,
AMD A10-6790K,4,4,4.0,100.0,Mid-End,Mid-End,
AMD Ryzen 7 1800X,8,16,3.6,95.0,High-End,High-End,
AMD Athlon 240GE,2,4,3.5,35.0,Low-End,Low-End,
Intel Core i5-10600K,6,12,4.1,125.0,High-End,High-End,
Intel Core i3-8350K,4,4,4.0,91.0,Mid-End,Mid-End,
AMD Ryzen 7 3700X,8,16,3.6,65.0,High-End,High-End,
Intel Core i5-9600KF,6,6,3.7,95.0,High-End,High-End,
AMD Athlon X4 950,4,4,3.5,65.0,Mid-End,Mid-End,
Intel Pentium G4520,2,2,3.6,47.0,Low-End,Low-End,
AMD A12-9800E,4,4,3.1,35.0,Low-End,Low-End,
AMD Ryzen 5 3400G,4,8,3.7,65.0,Mid-End,Mid-End,
AMD Ryzen 3 4100,4,8,3.8,65.0,Mid-End,Mid-End,
AMD A6-6400K,2,2,3.9,65.0,Low-End,Low-End,
AMD A8-6600K,4,4,3.9,100.0,Mid-End,Mid-End,
Intel Core i7-4770K,4,8,3.5,84.0,Mid-End,Mid-End,
Intel Xeon E5-2697 V4,8,36,2.3,145.0,High-End,High-End,
AMD Ryzen 3 1200 AF,4,4,3.1,65.0,Mid-End,Mid-End,
AMD Athlon 3000G,2,4,3.5,35.0,Low-End,Low-End,
AMD Ryzen 5 7600,6,12,3.8,65.0,High-End,High-End,
Intel Core i7-13700KF,8,16,3.4,125.0,High-End,High-End,
Intel Core i3-10100,4,8,3.6,65.0,Mid-End,Mid-End,
AMD Ryzen 5 3600,6,12,3.6,65.0,High-End,High-End,
Intel Core i3-12100F,4,8,3.3,60.0,Mid-End,Mid-End,
Intel Core i9-11900KF,8,16,3.5,125.0,High-End,High-End,
AMD A10-9700,4,4,3.5,65.0,Mid-End,Mid-End,
Intel Xeon E5-2630 V3,8,16,2.4,85.0,High-End,High-End,
Intel Xeon E5-2640 V4,0,20,2.4,90.0,High-End,High-End,
Intel Core i3-6300,2,4,3.8,47.0,Low-End,Low-End,
Intel Core i5-11600KF,6,12,3.9,125.0,High-End,High-End,
Intel Core i5-11600,6,12,2.8,65.0,High-End,High-End,
AMD Ryzen 5 5600G,6,12,3.9,65.0,High-End,High-End,
Intel Core i5-12600K,6,12,3.6,125.0,High-End,High-End,
Intel Xeon E5-2620 V3,6,12,2.4,85.0,High-End,High-End,
Intel Core i9-10900K,10,20,3.7,125.0,High-End,High-End,
AMD Phenom II X6 1090T,6,6,3.2,125.0,High-End,High-End,
Intel Core i7-6950X,10,20,3.0,140.0,High-End,High-End,
AMD Ryzen 5 3600XT,6,12,3.8,95.0,High-End,High-End,
Intel Core i3-4160,2,4,3.6,54.0,Low-End,Low-End,
Intel Core i3-12100,4,8,3.3,60.0,Mid-End,Mid-End,
AMD Ryzen Threadripper 2920X,12,24,3.5,180.0,High-End,High-End,
AMD Ryzen 7 7800X3D,8,16,4.2,120.0,High-End,High-End,
Intel Core i5-9400,6,6,2.9,65.0,Mid-End,Mid-End,
Intel Core i9-7980XE,18,36,2.6,165.0,High-End,High-End,
AMD A8-7650K,2,2,3.3,95.0,Low-End,Low-End,
AMD Ryzen 9 7950X,16,32,4.5,170.0,High-End,High-End,
AMD A10-7850K,2,2,3.7,95.0,Low-End,Low-End,
Intel Core i3-6098P,2,4,3.6,54.0,Low-End,Low-End,
Intel Core i7-13700,8,16,4.0,65.0,High-End,High-End,
Intel Pentium G4600,2,4,3.6,51.0,Low-End,Low-End,
Intel Core i7-6850K,6,12,3.6,140.0,High-End,High-End,
Intel Core i5-8500,6,6,3.0,65.0,Mid-End,Mid-End,
AMD Ryzen Threadripper 3960X,24,48,3.8,280.0,High-End,High-End,
Intel Core i9-9900K,8,16,3.6,160.0,High-End,High-End,
Intel Core i7-2600K,4,8,3.4,95.0,Mid-End,Mid-End,
AMD Ryzen 5 7600X,6,12,4.7,105.0,High-End,High-End,
Intel Core i5-6600,4,4,3.3,65.0,Mid-End,Mid-End,
Intel Core i3-6300T,2,4,3.3,35.0,Low-End,Low-End,
Intel Core i7-4790K,4,8,4.0,88.0,Mid-End,Mid-End,
Intel Core i7-9700KF,8,8,3.6,95.0,High-End,High-End,
Intel Core i3-10300,4,8,3.7,65.0,Mid-End,Mid-End,
Intel Core i7-13700F,8,16,4.0,65.0,High-End,High-End,
Intel Core i3-9320,4,4,3.7,65.0,Mid-End,Mid-End,
AMD Ryzen 9 3900X,12,24,3.8,105.0,High-End,High-End,
Intel Xeon E5-2680 V4,4,28,2.4,120.0,High-End,High-End,
AMD Ryzen 5 1600 AF,6,12,3.2,65.0,High-End,High-End,
AMD FX-8370,8,8,4.0,125.0,High-End,High-End,
AMD FX-8320E,8,8,3.2,95.0,High-End,High-End,
AMD Ryzen 5 2600,6,12,3.4,65.0,High-End,High-End,
AMD Athlon X4 845,2,2,3.5,65.0,Low-End,Low-End,
AMD A6-7470K,1,1,3.7,65.0,Low-End,Low-End,
Intel Core i7-12700,8,16,2.1,65.0,High-End,High-End,
Intel Core i9-7900X,10,20,3.3,140.0,High-End,High-End,
Intel Pentium Gold G5500,2,4,3.8,54.0,Low-End,Low-End,
Intel Core i3-7100,2,4,3.9,51.0,Low-End,Low-End,
AMD A8-9600,4,4,3.1,65.0,Mid-End,Mid-End,
Intel Core i5-4590,4,4,3.3,84.0,Mid-End,Mid-End,
Intel Core i5-4460,4,4,3.2,84.0,Mid-End,Mid-End,
Intel Core i5-12500,6,12,3.0,65.0,High-End,High-End,
AMD FX-4300,4,4,3.8,95.0,Mid-End,Mid-End,
Intel Core i7-10700F,8,16,2.9,65.0,High-End,High-End,
Intel Core i5-6600K,4,4,3.5,91.0,Mid-End,Mid-End,
AMD Ryzen 7 7700X,8,16,4.5,105.0,High-End,High-End,
Intel Core i5-11400,6,12,2.6,65.0,High-End,High-End,
AMD FX-6300,6,6,3.5,95.0,High-End,High-End,
AMD Ryzen Threadripper Pro 5965WX,24,48,3.8,280.0,High-End,High-End,
Intel Celeron G6900,2,2,3.4,46.0,Low-End,Low-End,
Intel Core i5-13400F,6,12,3.3,65.0,High-End,High-End,
Intel Core i7-11700KF,8,16,3.6,125.0,High-End,High-End,
Intel Core i7-5775C,4,8,3.3,65.0,Mid-End,Mid-End,
Intel Core i7-7800X,6,12,3.5,140.0,High-End,High-End,
Intel Core i7-5960X,8,16,3.0,140.0,High-End,High-End,
Intel Core i7-4790K,4,8,4.0,88.0,Mid-End,Mid-End,
Intel Core i9-10900KF,10,20,3.7,125.0,High-End,High-End,
AMD Ryzen 9 7950X3D,16,32,4.2,120.0,High-End,High-End,
Intel Xeon E5-1650 V3,6,12,3.5,140.0,High-End,High-End,
AMD Ryzen 5 5500,6,12,3.6,65.0,High-End,High-End,
AMD Athlon X4 880K,2,2,4.0,95.0,Low-End,Low-End,
Intel Core i9-10920X,12,24,3.5,165.0,High-End,High-End,
Intel Pentium G7400,2,4,3.7,46.0,Low-End,Low-End,
Intel Core i7-10700K,8,16,3.8,125.0,High-End,High-End,
AMD Ryzen 3 3200G,4,4,3.6,65.0,Mid-End,Mid-End,
AMD Ryzen Threadripper 1950X,16,32,3.4,180.0,High-End,High-End,
AMD Ryzen 9 7900,12,24,3.7,65.0,High-End,High-End,
Intel Core i3-9350KF,4,4,4.0,91.0,Mid-End,Mid-End,
AMD A4-5300,2,2,3.4,65.0,Low-End,Low-End,
AMD A10-7870K,2,2,3.9,95.0,Low-End,Low-End,
AMD A12-9800,4,4,3.8,65.0,Mid-End,Mid-End,
AMD Ryzen 7 7700,8,16,3.8,65.0,High-End,High-End,
Intel Core i9-10900,10,20,2.8,65.0,High-End,High-End,
AMD FX-6350,6,6,3.9,125.0,High-End,High-End,
Intel Xeon E3-1271 V3,4,8,3.6,80.0,Mid-End,Mid-End,
Intel Xeon E3-1231 V3,4,8,3.4,80.0,Mid-End,Mid-End,
AMD Ryzen 5 2600,6,12,3.4,65.0,High-End,High-End,
Intel Core i9-7960X,16,32,2.8,165.0,High-End,High-End,
AMD Ryzen 5 1600X,6,12,3.6,95.0,High-End,High-End,
AMD A4-7300,1,1,3.8,65.0,Low-End,Low-End,
Intel Xeon E5-2650 V4,2,24,2.2,105.0,High-End,High-End,
AMD A4-4020,1,1,3.2,65.0,Low-End,Low-End,
AMD A6-7400K,1,1,3.5,65.0,Low-End,Low-End,
Intel Core i9-10900X,10,20,3.7,165.0,High-End,High-End,
Intel Core i7-6900K,8,16,3.2,140.0,High-End,High-End,
Intel Core i9-11900,8,16,2.5,65.0,High-End,High-End,
Intel Core i9-11900F,8,16,2.5,65.0,High-End,High-End,
AMD Ryzen Threadripper Pro 3955WX,16,32,3.9,280.0,High-End,High-End,
Intel Pentium Gold G5600,2,4,3.9,54.0,Low-End,Low-End,
Intel Core i9-13900K,8,16,3.0,125.0,High-End,High-End,
AMD FX-8300,8,8,3.3,95.0,High-End,High-End,
AMD A8-7600,2,2,3.1,65.0,Low-End,Low-End,
Intel Core i3-7320,2,4,4.1,51.0,Low-End,Low-End,
Intel Xeon E5-2620 V4,8,16,2.1,85.0,High-End,High-End,
Intel Core i5-6500,4,4,3.2,65.0,Mid-End,Mid-End,
Intel Core i7-10700,8,16,2.9,65.0,High-End,High-End,
Intel Core i9-13900,8,16,4.3,65.0,High-End,High-End,
Intel Core i5-10500,6,12,3.1,65.0,High-End,High-End,
AMD Athlon X4 870K,2,2,3.9,95.0,Low-End,Low-End,
Intel Core i7-6700K,4,8,4.0,91.0,Mid-End,Mid-End,
Intel Core i7-6700,4,8,3.4,65.0,Mid-End,Mid-End,
Intel Core i3-9100F,4,4,3.6,65.0,Mid-End,Mid-End,
Intel Pentium G4620,2,4,3.7,51.0,Low-End,Low-End,
AMD A10-7890K,2,2,4.1,95.0,Low-End,Low-End,
Intel Core i7-10700KF,8,16,3.8,125.0,High-End,High-End,
Intel Core i3-4130,2,4,3.4,54.0,Low-End,Low-End,
Intel Xeon E5-2690 V4,4,28,2.6,135.0,High-End,High-End,
Intel Core i5-4690,4,4,3.5,84.0,Mid-End,Mid-End,
Intel Core i7-11700,8,16,2.5,65.0,High-End,High-End,
Intel Core i9-7920X,12,24,2.9,140.0,High-End,High-End,
Intel Core i3-10305,4,8,3.8,65.0,Mid-End,Mid-End,
AMD FX-8370E,4,4,3.3,95.0,Mid-End,Mid-End,
AMD FX-9370,4,4,4.4,220.0,High-End,High-End,
AMD FX-4350,4,4,4.2,125.0,Mid-End,Mid-End,
AMD Ryzen 7 1700,8,16,3.0,65.0,High-End,High-End,
Intel Core i7-7820X,8,16,3.6,140.0,High-End,High-End,
Intel Core i7-8086K,6,12,4.0,95.0,High-End,High-End,
Intel Core i7-6800K,6,12,3.4,140.0,High-End,High-End,
AMD Ryzen 5 3600X,6,12,3.8,95.0,High-End,High-End,
Intel Core i9-13900F,8,16,4.3,65.0,High-End,High-End,
Intel Core i3-7350K,2,4,4.2,60.0,Low-End,Low-End,
Intel Pentium Gold G5400,2,4,3.7,58.0,Low-End,Low-End,
AMD Ryzen 5 1400,4,8,3.2,65.0,Mid-End,Mid-End,
Intel Xeon E5-2695 V4,8,36,2.1,120.0,High-End,High-End,
Intel Core i5-8400,6,6,2.8,65.0,Mid-End,Mid-End,
Intel Core i3-9300,4,4,3.7,65.0,Mid-End,Mid-End,
AMD Ryzen 7 5700X,8,16,3.4,65.0,High-End,High-End,
Intel Core i7-7700,4,8,3.6,65.0,Mid-End,Mid-End,
Intel Core i5-9400F,6,6,2.9,65.0,Mid-End,Mid-End,
Intel Core i9-10980XE,18,36,3.0,165.0,High-End,High-End,
Intel Xeon E5-2660 V4,4,28,2.0,105.0,High-End,High-End,
Intel Core i5-12400,6,12,2.5,65.0,High-End,High-End,
AMD Ryzen Threadripper 3970X,32,64,3.7,280.0,High-End,High-End,
Intel Xeon E5-2695 V3,4,28,2.3,120.0,High-End,High-End,
AMD Ryzen 7 5700G,8,16,3.8,65.0,High-End,High-End,
AMD Ryzen Threadripper 2970WX,24,48,3.0,250.0,High-End,High-End,
Intel Core i7-13700K,8,16,3.4,125.0,High-End,High-End,
AMD Athlon X4 860K,2,2,3.7,95.0,Low-End,Low-End,
Intel Core i5-8600,6,6,3.1,65.0,Mid-End,Mid-End,
Intel Core i7-9700K,8,8,3.6,125.0,High-End,High-End,
Intel Core i5-9600K,6,6,3.7,95.0,High-End,High-End,
AMD Ryzen 3 1300X,4,4,3.5,65.0,Mid-End,Mid-End,
Intel Core i5-13500,6,12,2.5,65.0,High-End,High-End,
Intel Xeon E5-2683 V4,6,32,2.1,120.0,High-End,High-End,
Intel Core i3-6100T,2,4,3.2,35.0,Low-End,Low-End,
Intel Core i5-10400F,6,12,2.9,65.0,High-End,High-End,
AMD Ryzen 7 5800X,8,16,3.8,105.0,High-End,High-End,
Intel Core i5-9500,6,6,3.0,65.0,Mid-End,Mid-End,
Intel Core i5-2500K,4,4,3.3,95.0,Mid-End,Mid-End,
AMD Ryzen Threadripper Pro 3995WX,64,128,2.7,280.0,High-End,High-End,
AMD Ryzen Threadripper Pro 3975WX,32,64,3.5,280.0,High-End,High-End,
Intel Xeon E5-2697 V3,4,28,2.6,145.0,High-End,High-End,
Intel Core i9-10850K,10,20,3.6,125.0,High-End,High-End,
Intel Core i9-12900KS,8,16,3.4,150.0,High-End,High-End,
Intel Core i3-10105,4,8,3.7,65.0,Mid-End,Mid-End,
AMD Ryzen Threadripper 1900X,8,16,3.8,180.0,High-End,High-End,
Intel Core i3-13100F,4,8,3.4,58.0,Mid-End,Mid-End,Mid-End
AMD Athlon X4 860K,2,2,3.7,95.0,Low-End,Low-End,Low-End
AMD Ryzen 5 1500X,4,8,3.5,65.0,Mid-End,Mid-End,Mid-End
Intel Core i7-7700K,4,8,4.2,91.0,Mid-End,Mid-End,Mid-End
AMD FX-8350,8,8,4.0,125.0,High-End,High-End,High-End
Intel Core i5-7500,4,4,3.4,65.0,Mid-End,Mid-End,Mid-End
Intel Core i7-8700,6,12,3.2,65.0,High-End,High-End,High-End
Intel Core i3-9100,4,4,3.6,65.0,Mid-End,Mid-End,Mid-End
Intel Xeon E5-2690 V3,2,24,2.6,135.0,High-End,High-End,High-End
Intel Core i5-3570K,4,4,3.4,77.0,Mid-End,Mid-End,Mid-End
AMD Ryzen Threadripper 2990WX,32,64,3.0,250.0,High-End,High-End,High-End
Intel Xeon E5-2603 V3,6,6,1.6,85.0,Mid-End,Mid-End,Mid-End
Intel Xeon E5-2687W V4,2,24,3.0,160.0,High-End,High-End,High-End
Intel Core i9-12900K,8,16,3.2,125.0,High-End,High-End,High-End
Intel Core i5-11500,6,12,2.7,65.0,High-End,High-End,High-End
Intel Core i3-4170,2,4,3.7,54.0,Low-End,Low-End,Low-End
AMD Ryzen 7 2700X,8,16,3.7,100.0,High-End,High-End,High-End
AMD FX-9590,8,8,4.7,220.0,High-End,High-End,High-End
AMD Ryzen 5 1600,6,12,3.2,65.0,High-End,High-End,High-End
Intel Xeon E5-2640 V3,8,16,2.6,90.0,High-End,High-End,High-End
AMD Ryzen 7 1700X,8,16,3.4,95.0,High-End,High-End,High-End
AMD Athlon 220GE,2,4,3.4,35.0,Low-End,Low-End,Low-End
Intel Core i7-11700K,8,16,3.6,125.0,High-End,High-End,High-End
Intel Core i5-7600K,4,4,3.8,91.0,Mid-End,Mid-End,Mid-End
Intel Core i3-6320,2,4,3.9,47.0,Low-End,Low-End,Low-End
Intel Core i5-10600KF,6,12,4.1,125.0,High-End,High-End,High-End
AMD Ryzen 7 3800X,8,16,3.9,105.0,High-End,High-End,High-End
AMD Ryzen Threadripper 1920X,12,24,3.5,180.0,High-End,High-End,High-End
Intel Core i9-9900KF,8,16,3.6,95.0,High-End,High-End,High-End
AMD Ryzen 9 3900XT,12,24,3.8,105.0,High-End,High-End,High-End
AMD Ryzen 7 2700,8,16,3.2,100.0,High-End,High-End,High-End
Intel Pentium Gold G5420,2,4,3.8,54.0,Low-End,Low-End,Low-End
Intel Core i5-8600K,6,6,3.6,95.0,High-End,High-End,High-End
AMD Ryzen 5 2400G,4,8,3.6,65.0,Mid-End,Mid-End,Mid-End
Intel Core i9-12900KF,8,16,3.2,125.0,High-End,High-End,High-End
Intel Core i3-10100F,4,8,3.6,125.0,High-End,High-End,Mid-End
AMD Ryzen 7 3800XT,8,16,3.9,105.0,High-End,High-End,High-End
AMD Ryzen 5 3600,6,12,3.6,65.0,High-End,High-End,High-End
AMD A8-7650K,2,2,3.3,95.0,Low-End,Low-End,Low-End
AMD Ryzen 5 3500X,6,6,3.6,65.0,Mid-End,Mid-End,Mid-End
Intel Core i9-13900KS,8,16,3.2,125.0,High-End,High-End,High-End
Intel Xeon E5-2630 V4,0,20,2.2,85.0,High-End,High-End,High-End
AMD Ryzen 3 3100,4,8,3.6,65.0,Mid-End,Mid-End,Mid-End
Intel Core i9-7940X,14,28,3.1,165.0,High-End,High-End,High-End
Intel Core i5-6400,4,4,2.7,65.0,Mid-End,Mid-End,Mid-End
AMD A10-7800,2,2,3.5,65.0,Low-End,Low-End,Low-End
AMD Ryzen 5 5600,6,12,3.5,65.0,High-End,High-End,High-End
Intel Core i9-12900,8,16,2.4,65.0,High-End,High-End,High-End
Intel Core i5-13400,6,12,2.5,65.0,High-End,High-End,High-End
AMD Ryzen 7 5800X3D,8,16,3.4,105.0,High-End,High-End,High-End
Intel Core i5-13600K,6,12,3.5,125.0,High-End,High-End,High-End
Intel Core i5-7600,4,4,3.5,65.0,Mid-End,Mid-End,Mid-End
Intel Core i7-5930K,6,12,3.5,140.0,High-End,High-End,High-End
Intel Core i5-13600KF,6,12,3.5,125.0,High-End,High-End,High-End
Intel Xeon E5-2687W V3,0,20,3.1,160.0,High-End,High-End,High-End
Intel Xeon E5-2609 V4,8,8,1.7,85.0,High-End,High-End,Mid-End
Intel Core i5-5675C,4,4,3.1,65.0,Mid-End,Mid-End,Mid-End
AMD Ryzen 9 7900X3D,12,24,4.4,120.0,High-End,High-End,High-End
Intel Pentium G4500,2,2,3.5,47.0,Low-End,Low-End,Low-End
Intel Core i5-11400F,6,12,2.6,65.0,High-End,High-End,High-End
AMD Ryzen 5 2600X,6,12,3.6,95.0,High-End,High-End,High-End
AMD A6-6420K,1,1,4.0,65.0,Low-End,Low-End,Low-End
AMD A6-9500,2,2,3.5,65.0,Low-End,Low-End,Low-End
Intel Core i5-7640X,4,4,4.0,112.0,Mid-End,Mid-End,Mid-End
AMD Ryzen Threadripper Pro 5975WX,32,64,3.6,280.0,High-End,High-End,High-End
Intel Core i3-7100T,2,4,3.4,35.0,Low-End,Low-End,Low-End
AMD Ryzen Threadripper Pro 5995WX,64,128,2.7,280.0,High-End,High-End,High-End
AMD Ryzen 3 3300X,4,8,3.8,65.0,Mid-End,Mid-End,Mid-End
Intel Core i3-7300T,2,4,3.5,35.0,Low-End,Low-End,Low-End
Intel Core i9-10900F,10,20,2.8,65.0,High-End,High-End,High-End
Intel Core i5-12400F,6,12,2.5,65.0,High-End,High-End,High-End
Intel Core i7-5820K,6,12,3.3,140.0,High-End,High-End,High-End
Intel Pentium G3260,2,2,3.3,53.0,Low-End,Low-End,Low-End
AMD FX-8370,8,8,4.0,125.0,High-End,High-End,High-End
Intel Core i3-10320,4,8,3.8,65.0,Mid-End,Mid-End,Mid-End
AMD A6-9500E,2,2,3.0,35.0,Low-End,Low-End,Low-End
Intel Core i3-8300,4,4,3.7,62.0,Mid-End,Mid-End,Mid-End
Intel Xeon E3-1241 V3,4,8,3.5,80.0,Mid-End,Mid-End,Mid-End
Intel Core i7-12700KF,8,16,3.6,125.0,High-End,High-End,High-End
Intel Celeron G1840,2,2,2.8,54.0,Low-End,Low-End,Low-End
Intel Core i5-4690K,4,4,3.5,88.0,Mid-End,Mid-End,Mid-End
Intel Core i5-4670K,4,4,3.4,84.0,Mid-End,Mid-End,Mid-End
Intel Core i9-11900K,8,16,3.5,125.0,High-End,High-End,High-End
Intel Core i7-12700K,8,16,3.6,125.0,High-End,High-End,High-End
Intel Core i7-4790,4,8,3.6,84.0,Mid-End,Mid-End,Mid-End
Intel Core i9-10940X,14,28,3.3,165.0,High-End,High-End,High-End
AMD Ryzen 9 5900X,12,24,3.7,105.0,High-End,High-End,High-End
Intel Xeon E5-2660 V3,0,20,2.6,105.0,High-End,High-End,High-End
Intel Core i7-8700K,6,12,3.7,95.0,High-End,High-End,High-End
Intel Pentium G4400,2,2,3.3,47.0,Low-End,Low-End,Low-End
Intel Xeon E5-1650 V4,6,12,3.6,140.0,High-End,High-End,High-End
Intel Xeon E5-2603 V4,6,6,1.7,85.0,Mid-End,Mid-End,Mid-End
Intel Core i5-7400,4,4,3.0,65.0,Mid-End,Mid-End,Mid-End
Intel Xeon E5-1620 V3,4,8,3.5,140.0,High-End,High-End,Mid-End
Intel Core i5-11600K,6,12,3.9,125.0,High-End,High-End,High-End
Intel Pentium G3258,2,2,3.2,54.0,Low-End,Low-End,Low-End
Intel Core i9-13900KF,8,16,3.0,125.0,High-End,High-End,High-End
